,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
95,2024-11-12 08:02:35,I would like to complete:,,,,Third Year,,,,No,Batten School of Leadership and Public Policy,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Public Policy & Leadership,Lawyer
96,2024-11-12 08:02:10,,I have completed:,I would like to complete:,I have completed:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,Biochemistry,Physicians associate or doctor
97,2024-11-12 08:02:25,I have completed:,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,,,,Could not consider unpaid internships,,Computer Science (BA) in the College of Arts & Sciences,"Consulting, Software engineering"
98,2024-11-12 08:02:36,,,,I have completed:,Third Year,,,,No,Batten School of Leadership and Public Policy,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,,,,"Lack of networking connections,Did not have the proper skills,Could not consider unpaid internships",,Leadership and Public Policy,Policy / Law
99,2024-11-12 08:02:11,,I would like to complete:,I have completed:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Neuroscience ,MD
100,2024-11-12 08:01:56,I would like to complete:,I have completed:,I have completed:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,Did not know how to navigate the internship search,,Biochemistry,Medical School
101,2024-11-12 08:02:23,I have completed:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,,,,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Global Studies - Global Environments and Sustainability & Spanish,Sustainability Consulting
102,2024-11-12 08:02:02,,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,Yes,Batten School of Leadership and Public Policy,I have completed an internship,,3+,Personal Contact/Direct Correspondence - Other,,,,Yes,Outside Virginia,Figured out what I want to do,,Lack of networking connections,,Policy,"Public Service, Government"
103,2024-11-12 08:01:35,,,,I have completed:,Third Year,,,,Yes,School of Education and Human Development,Other - Please describe:,I have completed one internship and I am currently completing another ,,,,,,,,,,,,YSI & Economics,A career in data analytics
104,2024-11-12 08:02:12,,,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Politics,Policy consulting
105,2024-11-12 08:02:35,I have completed:,,,,Third Year,,,,Yes,School of Engineering and Applied Science,I have completed an internship,,1,Career Services - Career Fair,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Mechanical Engineering,Manufacturing or Robotics
106,2024-11-12 08:01:41,I would like to complete:,I would like to complete:,,,Fourth Year,,I have been interviewing,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Applied Statistics,Data Scientist
107,2024-11-12 08:01:36,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,McIntire School of Commerce,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Commerce,Consulting
108,2024-11-12 08:02:36,I would like to complete:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,"Difficult to find opportunities in my field,Did not have confidence in interviews",,Economics,Private Equity
109,2024-11-12 08:02:29,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,3+,"Career Services - Handshake,Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,Computer Science,Software Engineering
110,2024-11-12 08:01:54,I have completed:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Media Studies,Still tbd. Looking for a variety of internships to see which I actually get / find interesting
111,2024-11-12 08:02:30,I have completed:,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Previous Employment (Internship)",,,,Yes,In Virginia,"Learned more about the industry,Figured out what I don't want to do",,Could not consider unpaid internships,,Biochemistry,Medicine/Physician 
112,2024-11-12 08:02:36,I would like to complete:,I have completed:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Computer Science (BA) in the College of Arts & Sciences,Remote Sensing
113,2024-11-12 08:02:34,,,,,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,,,,Did not know how to navigate the internship search,,Econ,Finance
114,2024-11-12 08:02:23,,,,,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,I did not face any barriers,,Commerce,Consulting
115,2024-11-12 08:02:11,I would like to complete:,,,I would like to complete:,Third Year,,,,No,McIntire School of Commerce,I have completed an internship,,2,Previous Employment (Internship),,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Difficult to find opportunities in my field,,Commerce,Analytics
116,2024-11-12 08:02:30,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science and Math,"Data Science, Consulting, Finance, Software Engineering"
117,2024-11-12 08:02:26,I would like to complete:,I have completed:,I have completed:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Biochemistry,Prehealth/research
